Brain - Cortex;Brain - Cerebellum;Brain - Frontal Cortex (BA9);Brain - Caudate (basal ganglia);Brain - Nucleus accumbens (basal ganglia);Brain - Putamen (basal ganglia);Brain - Hypothalamus;Brain - Spinal cord (cervical c-1);Brain - Hippocampus;Brain - Anterior cingulate cortex (BA24);Brain - Cerebellar Hemisphere;Brain - Substantia nigra;Brain - Amygdala
235;466;239;86;81;40;123;242;50;75;448;97;42
232;454;233;83;86;41;127;251;44;74;442;96;38
236;464;258;80;83;34;115;249;51;82;448;89;41
231;451;235;94;97;46;107;247;45;80;444;85;39
241;449;230;87;77;40;120;246;57;80;443;104;46
241;455;251;92;91;44;113;222;49;85;453;84;38
239;456;226;89;84;43;118;258;48;78;444;98;35
253;437;254;95;93;57;121;253;52;98;428;104;52
218;460;236;88;92;41;129;241;47;82;445;96;41
229;459;254;100;105;49;104;228;45;79;445;87;34
233;458;232;85;91;31;115;258;48;77;441;97;27
233;453;248;101;85;46;116;242;51;80;447;102;36
218;453;224;93;79;49;124;249;55;73;441;99;35
243;452;227;82;73;45;110;258;45;75;431;105;45
240;437;260;104;88;55;139;239;56;87;422;98;46
230;462;249;93;88;48;105;231;44;81;449;90;24
230;457;240;87;78;48;124;256;50;66;445;96;36
222;458;229;75;74;45;119;258;35;77;446;97;29
238;459;250;81;87;34;124;235;55;87;449;100;45
236;447;243;90;82;39;107;252;48;73;440;101;27
240;439;252;89;78;54;132;232;62;81;429;106;41
224;456;229;86;78;42;117;241;44;67;452;90;32
240;444;245;89;90;53;134;223;55;90;434;89;39
208;466;210;79;75;49;121;256;48;74;460;96;33
234;443;243;85;85;45;120;251;41;75;438;92;30
244;451;236;82;82;41;118;257;54;84;444;101;43
239;457;242;87;73;41;109;258;46;85;437;99;43
231;466;238;84;75;45;117;240;50;77;454;94;42
243;456;246;77;88;36;119;249;49;74;446;105;43
245;456;235;98;86;53;110;240;53;86;433;92;34
247;453;244;94;93;44;108;237;49;80;441;97;48
253;443;247;81;83;39;124;242;48;86;438;100;41
247;458;243;101;101;54;115;234;46;90;446;84;47
249;460;270;85;94;43;122;243;46;87;443;92;35
243;449;231;89;83;39;132;244;47;81;438;106;35
243;435;247;100;97;51;123;229;51;80;427;96;43
237;450;247;89;84;44;113;254;50;81;438;108;36
217;451;227;84;78;38;111;251;41;72;439;96;33
245;460;257;84;81;45;123;248;59;85;452;89;36
246;452;260;97;86;45;108;233;54;91;447;94;33
237;451;237;93;89;49;122;249;42;76;441;98;33
231;446;252;90;83;45;125;252;48;79;441;108;30
223;448;231;106;88;44;111;243;57;80;436;99;36
239;445;249;99;96;46;109;245;53;82;441;99;39
252;459;255;93;89;44;119;228;52;90;448;92;37
223;469;237;84;82;39;120;245;54;76;462;79;42
240;448;242;95;98;46;113;229;49;89;442;92;43
231;440;242;86;83;42;114;253;48;83;425;92;43
253;460;243;88;83;42;119;218;51;83;447;84;39
242;458;239;85;92;41;117;233;49;90;449;90;37
246;449;241;92;85;49;115;243;40;75;444;98;33
222;465;246;78;71;39;116;249;43;73;456;90;29
249;448;244;82;81;44;121;261;51;80;436;103;39
237;453;256;94;97;41;118;239;52;87;430;96;37
240;454;236;83;84;41;122;235;53;75;451;92;41
236;457;245;80;82;34;120;240;47;87;447;86;40
240;455;241;100;85;52;126;253;46;93;450;96;38
245;441;242;106;86;53;111;249;46;83;428;103;39
238;453;234;102;94;49;112;251;47;78;441;92;40
234;441;234;101;90;49;122;261;52;83;430;104;42
238;451;231;87;93;45;118;252;47;78;443;98;29
231;454;234;90;90;56;122;247;52;85;445;93;41
232;457;240;86;81;44;115;253;48;75;446;93;44
213;458;235;83;92;42;118;227;47;73;445;87;36
229;458;240;96;106;47;133;251;55;80;446;91;46
222;459;232;86;87;50;125;239;51;69;450;87;38
226;440;245;93;88;49;98;261;43;80;436;97;33
248;459;235;93;94;45;119;243;52;82;442;86;43
234;456;223;101;95;44;109;258;48;75;439;99;32
244;458;242;80;86;47;116;246;48;78;443;102;43
250;467;249;98;103;41;113;236;49;90;448;75;40
254;432;256;104;95;56;121;241;58;97;423;103;45
232;454;243;88;90;47;124;247;47;72;444;104;34
238;458;251;83;87;36;103;249;46;78;450;85;26
222;449;235;86;92;41;139;242;49;72;440;112;40
226;466;241;80;76;40;114;241;45;78;455;91;36
253;449;251;91;92;43;129;232;54;90;431;89;43
233;440;237;98;83;42;117;255;56;85;429;103;44
236;440;241;91;89;46;130;239;51;88;429;96;45
228;443;250;84;82;41;119;258;56;90;427;106;46
255;456;256;87;86;38;125;225;57;91;444;82;44
233;450;233;88;70;41;124;238;52;85;431;95;43
239;453;245;90;85;43;124;228;48;78;451;92;31
231;448;227;93;91;45;113;242;61;79;442;91;47
252;463;238;89;81;35;123;237;61;81;447;90;42
222;480;229;77;73;44;115;237;55;66;468;73;37
241;447;244;95;79;52;100;233;53;78;437;96;39
232;447;233;104;95;51;127;241;62;73;434;96;42
229;457;234;90;77;43;109;240;49;84;451;108;33
232;466;242;83;83;46;121;244;53;74;454;95;36
252;472;242;74;69;35;121;252;47;74;457;82;39
238;451;234;96;79;45;124;237;56;72;429;111;36
240;451;238;86;77;40;118;270;56;83;439;102;48
233;470;236;79;78;39;108;248;44;68;461;89;32
244;448;254;102;91;44;117;242;60;95;425;101;48
241;443;243;87;80;41;116;237;56;88;434;94;43
252;452;250;96;88;44;112;229;40;88;439;92;37
222;466;232;80;79;43;125;247;46;85;451;96;45
248;445;251;86;82;35;131;237;57;87;435;105;40
259;462;234;77;72;37;106;229;44;92;449;89;44
246;456;248;92;93;43;108;236;55;86;441;81;43
236;451;229;85;83;45;108;245;43;77;435;92;34
237;453;239;80;84;34;121;263;48;74;446;93;38
236;451;241;82;80;43;121;245;51;82;439;100;41
231;454;234;97;87;49;124;238;52;75;439;95;40
251;452;244;90;88;43;130;241;48;87;437;89;48
246;440;270;97;88;53;131;246;49;96;446;94;49
256;449;242;90;87;43;110;217;50;88;448;92;39
244;448;252;106;91;54;122;241;45;92;433;87;35
229;455;247;89;90;43;106;236;40;76;448;95;37
234;448;252;105;103;42;127;246;46;90;430;99;35
225;448;242;91;92;42;120;256;56;72;440;108;39
244;447;241;97;92;50;125;241;45;83;442;90;38
235;451;246;90;79;49;125;249;52;78;437;94;47
229;446;237;88;74;47;102;238;57;60;437;95;32
240;460;254;96;89;41;121;231;52;85;445;92;41
242;437;247;95;83;51;130;256;60;82;423;108;43
226;444;231;91;80;43;120;246;60;78;437;89;44
221;455;235;98;94;51;115;239;49;83;442;94;40
260;424;251;100;98;47;131;246;64;85;419;100;48
250;451;246;85;95;49;110;247;52;87;439;98;49
235;437;221;91;81;50;113;241;59;83;417;107;40
250;454;255;103;98;54;121;226;54;93;438;84;32
248;463;246;105;95;47;116;236;50;82;450;89;43
239;444;242;108;106;46;127;245;46;84;441;92;37
252;460;240;88;83;43;110;243;55;81;450;90;37
232;449;237;109;98;55;121;234;43;81;433;90;32
246;440;243;95;93;44;122;250;59;85;429;92;46
232;444;261;101;84;50;118;251;48;72;441;107;40
228;461;235;85;81;47;117;250;46;67;445;94;35
258;448;248;87;93;36;118;225;47;89;435;93;42
237;453;232;104;90;42;118;262;49;76;438;100;42
238;445;258;99;100;47;118;235;52;81;438;98;47
224;474;232;78;76;43;113;236;55;83;464;82;41
274;450;266;86;88;39;115;235;45;91;436;93;49
246;447;252;102;85;55;127;245;49;92;433;105;52
243;436;250;94;79;53;124;253;61;87;433;113;55
246;432;239;93;87;52;127;245;57;84;424;114;44
235;462;234;93;90;45;113;244;41;79;458;88;40
244;438;253;93;92;41;125;236;61;83;432;92;40
228;449;237;105;90;43;120;255;53;89;434;99;42
244;432;251;95;98;48;129;255;56;86;420;113;46
229;453;241;86;89;45;118;252;53;86;442;94;39
236;434;239;108;94;49;133;242;52;80;431;111;37
228;456;256;89;92;45;114;251;52;86;446;90;36
233;462;233;87;76;38;121;249;53;72;452;100;35
229;453;237;91;93;53;117;257;51;76;437;94;33
238;462;240;86;79;48;120;237;46;78;461;88;36
242;451;255;87;80;38;112;237;46;79;445;92;41
229;452;217;84;85;40;128;250;49;78;435;103;32
249;423;236;106;92;58;137;239;58;94;411;104;45
241;456;243;82;82;43;110;241;54;90;440;99;38
225;453;232;81;74;42;119;244;50;74;444;105;44
245;456;247;79;72;41;114;240;46;88;445;92;33
232;477;243;84;76;34;108;234;37;78;464;99;37
240;459;259;92;85;48;119;229;53;87;454;92;40
221;453;238;97;77;43;119;258;46;73;440;96;36
240;447;241;93;83;50;117;241;55;82;436;97;41
255;454;239;86;97;42;131;228;57;85;448;99;43
242;445;261;94;87;37;127;241;51;94;436;88;37
248;469;265;73;78;38;115;232;49;73;457;85;37
238;456;222;99;92;43;115;232;50;82;447;90;37
231;467;238;86;79;42;127;239;40;82;453;96;37
244;458;249;81;86;42;122;262;53;72;441;108;43
227;457;232;86;72;47;113;257;48;70;449;98;43
239;468;236;83;81;39;122;232;47;82;452;84;36
258;453;241;88;86;45;121;245;43;77;434;105;42
227;441;212;95;101;51;128;236;63;85;427;108;45
228;447;230;89;89;37;107;259;53;81;436;99;34
247;458;250;88;88;43;117;248;48;73;442;98;41
247;446;245;89;85;37;120;224;62;84;439;92;39
239;447;238;97;91;51;135;244;57;85;437;105;31
228;478;240;90;88;43;121;236;46;79;467;78;34
240;446;241;95;101;46;133;237;54;80;441;100;36
235;462;240;97;99;47;105;230;41;73;451;81;44
224;452;236;88;83;45;116;257;51;78;437;93;33
248;458;246;87;91;46;121;241;43;83;442;94;39
240;457;242;89;80;43;118;241;55;89;445;94;41
236;440;252;94;90;42;131;247;47;86;437;98;39
234;463;253;98;76;51;108;222;44;81;456;94;41
255;447;275;74;92;39;130;243;49;86;436;99;41
244;444;245;90;91;38;105;239;55;87;427;99;38
235;460;245;74;82;41;106;229;54;79;450;78;37
235;438;253;81;72;45;121;259;60;78;429;111;48
228;453;240;103;84;54;109;235;38;74;453;92;39
233;454;226;91;85;42;135;247;41;72;433;94;38
256;449;237;86;85;40;118;242;46;76;436;99;42
237;447;244;96;88;46;117;255;45;88;431;96;41
235;459;230;93;84;48;118;238;58;81;452;90;49
236;464;239;86;81;40;124;238;49;72;448;95;38
242;450;261;95;99;43;114;220;47;81;440;80;37
245;461;242;79;82;33;113;237;48;79;446;95;37
243;464;248;87;91;49;115;238;47;86;450;85;43
226;473;243;84;76;41;132;258;46;71;460;94;42
250;475;222;74;76;35;115;240;49;74;465;94;43
238;469;239;82;73;37;117;229;44;72;460;88;25
232;430;232;93;84;42;119;257;62;90;412;105;48
257;455;240;87;83;41;128;245;55;84;444;96;37
239;447;252;91;90;38;121;222;60;95;435;95;46
241;456;248;79;78;39;122;240;50;89;438;101;35
244;443;236;98;90;48;129;246;58;88;429;115;41
245;448;245;100;84;56;124;242;50;83;440;92;38
256;460;252;94;80;46;112;225;52;89;447;89;39
220;436;226;101;92;46;135;247;57;71;425;105;35
253;457;261;86;83;41;112;234;54;84;441;100;35
234;439;242;106;89;50;113;256;53;79;425;102;33
237;434;240;96;85;52;132;260;51;73;425;113;40
234;450;229;79;77;39;116;248;45;64;442;95;38
249;444;240;93;85;51;126;232;61;86;438;101;42
233;451;249;86;86;42;106;238;54;94;438;92;35
247;430;237;105;85;56;125;256;54;80;410;104;38
229;463;227;87;84;44;110;252;46;75;456;88;33
264;440;254;100;97;51;134;239;50;107;428;113;41
220;448;236;91;82;53;114;250;48;75;444;93;31
245;447;239;89;79;45;127;234;56;87;442;99;38
229;452;243;82;83;40;123;259;52;81;448;97;35
242;445;232;91;81;43;135;251;59;88;438;107;38
228;444;234;93;79;43;127;268;48;75;436;106;33
233;452;250;96;87;48;114;227;59;81;445;91;41
244;446;250;88;84;42;124;235;54;81;428;90;37
232;456;234;94;79;47;112;255;57;72;434;102;38
240;466;239;95;91;44;108;236;45;81;461;90;39
232;437;248;89;86;48;133;248;57;90;421;98;49
231;434;239;96;84;47;135;255;54;84;421;111;42
244;474;255;82;81;36;115;235;52;80;462;86;37
248;460;243;84;88;42;129;260;48;88;439;95;33
222;442;234;98;93;46;121;248;59;73;434;107;35
253;446;250;90;98;40;125;247;60;75;426;94;53
239;438;238;91;86;48;138;258;54;78;426;114;41
228;441;245;94;87;41;128;247;53;89;426;89;43
253;462;260;90;88;37;116;241;56;77;442;101;44
252;463;262;85;79;44;115;240;44;80;450;96;39
241;465;237;87;86;41;105;228;47;83;453;87;44
235;465;253;90;87;36;123;246;53;83;461;89;38
231;451;227;84;87;34;117;254;53;82;437;106;39
240;438;249;92;84;49;122;253;53;84;431;103;41
246;452;245;98;83;50;119;245;51;78;439;85;37
241;460;249;80;91;37;113;237;54;82;451;86;50
248;469;261;78;84;39;110;252;48;76;462;100;36
231;447;241;99;76;46;120;268;53;80;434;109;43
251;452;252;89;92;49;130;239;57;76;440;94;39
240;445;225;83;82;45;123;256;48;86;436;106;45
241;449;243;92;77;47;117;267;47;89;434;100;43
254;440;267;101;101;50;107;249;52;91;431;106;46
250;446;244;86;85;48;117;263;55;86;440;111;44
235;448;233;97;81;44;117;252;49;89;438;98;39
252;455;243;92;87;50;115;242;52;88;438;89;47
239;448;237;97;95;45;125;247;53;88;432;99;46
243;459;232;89;85;50;113;249;36;77;444;104;30
235;448;260;85;92;43;127;239;48;89;437;93;42
236;448;257;91;96;47;151;229;56;88;432;106;46
216;454;219;85;89;36;113;267;53;68;449;102;30
250;454;249;88;82;42;117;236;59;84;447;85;32
249;447;254;95;97;44;115;248;45;83;438;89;36
242;456;242;101;90;39;109;237;55;93;441;90;42
235;439;248;97;88;48;127;249;53;82;422;101;41
224;446;238;81;75;39;125;240;56;81;435;106;46
237;447;239;101;90;56;113;239;50;74;434;103;34
258;439;262;99;87;51;123;239;49;96;424;95;43
251;450;239;83;79;45;128;216;63;89;440;103;40
255;446;256;84;93;47;107;234;48;88;436;105;43
231;473;239;83;82;38;110;230;45;82;465;98;34
226;450;240;91;83;46;121;249;51;86;433;97;47
228;457;223;92;83;44;120;252;43;72;451;94;38
233;454;247;76;80;42;122;244;44;83;447;93;33
250;443;245;96;96;46;134;252;60;85;431;110;41
242;451;242;85;80;37;113;247;54;73;437;101;35
223;447;238;92;84;35;124;259;53;76;431;105;39
244;458;252;90;80;46;111;240;43;72;451;88;35
247;455;251;95;93;37;129;235;63;93;445;85;45
252;452;252;94;90;40;121;250;49;92;437;98;48
241;436;225;93;90;55;114;248;50;82;424;102;42
231;460;232;89;87;39;122;231;49;70;452;97;34
236;458;236;102;93;49;122;257;57;85;442;90;47
247;428;248;90;86;42;129;247;59;98;415;117;41
240;445;256;91;92;44;118;241;58;84;430;100;40
243;445;243;108;98;58;117;225;52;82;432;104;42
240;450;220;91;84;44;110;250;47;80;428;100;35
240;466;242;88;82;43;117;225;45;73;456;85;31
225;455;222;87;81;46;115;268;52;74;441;107;45
228;438;230;93;98;50;118;251;56;78;427;107;48
236;460;224;77;70;32;119;247;47;69;450;95;34
218;437;241;101;97;61;140;241;54;76;431;100;40
234;457;238;94;97;45;127;249;47;74;442;89;34
228;453;221;89;89;41;124;233;55;91;443;98;45
232;448;230;88;81;48;122;251;51;74;439;91;36
246;446;241;88;93;40;119;261;49;84;432;103;38
225;440;237;97;90;48;130;252;62;74;429;110;46
239;452;247;92;80;45;123;246;55;77;439;91;33
238;456;238;83;79;37;114;251;51;84;439;92;39
218;465;249;84;85;38;129;239;38;72;445;97;28
231;467;242;82;81;44;111;246;47;70;454;84;34
234;443;253;97;86;48;124;272;50;79;429;89;33
221;452;238;97;99;57;124;256;46;83;439;98;46
234;450;258;88;85;47;129;240;54;91;441;90;46
236;454;249;94;100;45;107;239;46;91;452;87;44
242;466;243;77;77;29;124;238;46;81;458;100;32
236;439;249;86;89;41;129;241;53;90;429;101;47
236;461;240;94;82;41;113;239;43;82;445;91;34
245;444;247;102;88;48;126;251;43;87;435;112;35
234;439;250;93;92;50;132;258;45;86;429;104;35
243;461;243;80;82;38;111;237;43;76;458;86;27
223;447;226;80;81;40;124;252;56;78;434;87;43
239;435;251;95;83;45;119;244;50;81;433;103;31
231;470;235;79;72;39;111;257;55;74;452;100;32
239;463;253;90;88;44;125;236;46;84;452;98;36
242;444;245;83;83;32;114;237;59;82;438;99;42
237;453;236;89;85;43;120;254;58;78;445;93;37
237;459;235;86;81;49;121;261;55;79;443;104;41
235;456;242;98;90;44;128;243;42;73;442;101;34
240;473;224;89;83;33;125;247;38;71;457;91;32
254;448;248;82;89;38;112;240;53;81;443;98;37
237;449;241;91;89;38;125;232;48;80;438;95;39
233;444;236;87;88;34;121;236;44;83;434;100;37
211;444;223;92;83;43;126;247;52;73;431;103;40
242;454;238;82;85;41;105;250;46;88;444;86;47
239;449;242;88;76;41;124;245;56;87;440;91;43
242;464;252;94;83;45;118;242;43;85;447;95;35
238;446;234;88;86;36;126;237;56;87;438;96;36
234;450;242;89;74;37;123;254;47;87;443;104;40
248;458;253;95;91;38;121;239;35;84;454;81;36
236;460;240;83;83;41;112;242;40;79;453;96;34
226;460;228;94;85;46;117;239;55;76;440;99;43
259;440;254;87;97;36;113;240;59;82;430;100;36
235;455;238;89;86;47;134;241;45;77;444;89;37
227;459;230;86;81;35;122;232;45;70;441;84;35
223;460;235;93;86;46;111;257;46;75;446;105;33
240;468;236;94;88;46;130;235;47;74;454;81;29
234;445;247;99;89;56;113;232;59;83;431;83;38
246;465;258;78;76;33;124;242;49;79;452;102;43
234;450;256;90;86;44;124;244;49;85;439;105;34
233;445;248;88;81;40;125;264;51;81;438;102;44
233;466;226;94;82;52;116;222;52;84;454;90;37
240;477;239;76;76;37;115;231;39;71;464;87;26
241;449;235;91;91;47;133;235;54;76;448;103;37
259;467;257;78;80;44;106;233;47;80;455;84;41
240;453;234;92;89;50;127;253;47;75;445;100;38
232;449;230;94;87;45;124;250;59;75;438;94;41
240;439;250;95;90;47;126;243;52;83;432;107;40
238;460;226;93;94;51;118;239;52;70;445;86;40
230;453;228;96;80;47;114;219;51;82;451;87;36
253;454;245;78;85;38;116;244;52;92;436;97;37
219;470;228;90;72;46;108;249;53;67;455;92;28
231;441;232;90;92;46;128;246;47;73;432;91;36
234;457;235;84;87;44;118;236;52;76;452;87;37
235;458;237;93;90;55;120;234;49;93;444;94;40
241;454;238;94;92;47;114;258;51;73;437;100;28
249;458;250;91;82;41;112;242;39;80;452;89;39
237;454;237;94;88;52;129;254;56;88;444;95;46
242;459;246;87;89;44;121;241;54;79;440;92;38
236;483;242;80;72;31;120;242;50;83;473;85;45
239;437;239;99;93;46;123;244;54;85;424;96;41
236;461;236;85;83;39;130;252;52;78;450;93;34
233;442;260;93;87;47;116;239;46;94;438;95;41
221;469;242;95;78;45;115;233;50;75;460;86;36
230;445;233;78;86;39;142;256;50;74;435;104;36
220;453;215;93;83;45;124;241;63;71;444;99;39
247;445;240;101;81;48;125;246;48;81;436;99;37
245;451;245;91;86;48;139;248;53;90;438;102;40
220;429;229;87;84;45;142;265;61;71;415;122;35
234;437;252;87;94;48;122;252;45;78;432;94;43
241;427;233;104;93;40;136;258;53;87;418;109;33
254;460;253;82;90;42;117;247;46;77;449;82;34
237;467;258;72;77;35;126;240;46;84;465;85;40
248;460;251;67;76;38;118;237;52;90;455;93;36
242;447;249;86;79;43;120;242;53;93;434;100;40
237;465;244;80;86;34;119;226;58;75;452;89;39
231;443;239;99;85;54;121;256;53;76;424;109;44
253;445;244;82;79;43;127;238;59;81;430;106;41
231;456;247;87;85;40;109;252;47;89;448;86;47
234;459;244;75;74;38;121;258;45;83;451;103;43
240;462;243;91;83;38;132;250;51;79;449;96;51
237;436;242;100;99;51;130;241;48;79;435;95;43
246;444;239;86;85;40;134;263;51;82;433;100;36
247;441;246;93;83;47;133;233;65;94;430;100;46
243;444;240;96;87;41;126;260;49;78;433;98;37
238;459;255;90;78;46;121;256;48;81;436;96;48
258;441;255;92;94;43;127;242;44;95;430;90;41
245;434;255;85;83;36;118;237;48;91;430;112;47
245;456;233;97;85;44;127;248;47;83;448;100;41
242;440;254;89;86;44;122;243;46;97;435;84;38
260;452;255;77;82;33;114;232;54;94;440;80;37
215;453;228;89;88;45;145;241;58;78;438;108;45
240;465;240;81;83;38;122;230;46;91;448;93;41
237;450;239;82;69;42;119;245;51;77;439;103;36
244;453;238;86;75;45;111;241;48;69;434;97;38
246;452;237;88;79;44;117;244;50;77;438;88;36
237;448;257;95;94;49;120;243;50;96;437;90;43
243;435;242;106;96;49;117;251;44;78;418;106;32
224;450;237;95;85;45;128;255;50;70;441;101;37
229;445;227;98;81;59;126;261;48;74;439;103;44
230;453;235;93;89;49;130;244;51;78;443;101;41
226;459;253;89;83;43;117;246;48;86;446;88;30
253;449;250;86;95;45;116;233;46;93;434;82;39
238;455;246;100;100;55;112;251;48;71;442;93;35
259;454;255;97;91;48;117;227;48;90;435;85;40
205;459;232;89;86;44;119;248;43;70;447;96;32
235;456;252;86;88;40;130;249;54;79;436;105;49
247;450;225;91;85;43;123;248;52;81;446;100;32
240;480;246;68;76;41;105;252;54;84;462;88;38
220;445;243;93;75;38;123;267;62;83;436;108;38
228;450;235;86;86;47;113;250;49;84;430;108;31
266;439;255;103;95;55;114;222;42;93;422;87;40
246;436;243;96;102;51;115;243;42;80;425;91;39
241;467;248;85;73;39;117;239;58;82;448;93;36
234;443;236;97;92;54;128;242;57;84;430;99;37
260;456;252;81;79;34;117;238;52;91;446;99;43
239;450;232;93;84;42;134;253;52;73;435;110;38
240;441;230;95;89;44;125;254;57;80;431;96;39
234;460;251;91;85;47;107;244;41;75;447;95;34
251;451;243;92;86;42;123;226;56;84;438;91;37
256;448;257;84;92;44;128;238;50;83;444;78;32
258;454;251;96;94;51;118;225;55;86;440;90;41
229;452;233;82;86;44;115;241;43;79;449;101;33
246;464;239;87;88;42;113;244;43;71;455;91;29
255;463;253;85;72;41;108;241;44;74;461;81;26
240;457;242;88;91;52;123;241;62;78;446;92;38
228;444;241;87;82;42;117;248;52;87;433;95;43
247;466;258;74;80;34;118;237;39;78;455;90;36
253;436;249;102;94;53;127;242;50;84;427;94;42
236;454;235;91;82;45;103;240;57;83;439;106;29
219;449;232;92;84;48;117;241;43;89;443;101;36
250;449;244;91;78;48;109;237;52;90;434;104;41
248;466;252;86;83;41;115;235;55;85;448;94;40
237;447;238;82;80;34;132;249;50;81;444;106;35
235;440;253;107;95;51;110;245;48;87;429;96;42
252;456;245;85;89;38;126;239;43;72;443;95;37
249;455;244;85;87;43;125;239;53;87;443;96;40
223;435;235;90;90;50;145;241;55;74;425;113;51
240;427;243;108;84;53;128;253;49;87;413;111;39
238;457;235;84;82;32;117;248;44;79;447;104;42
252;436;258;100;95;47;138;252;60;95;420;101;51
229;454;229;94;79;47;119;251;46;64;443;98;36
251;444;262;89;81;52;128;267;54;87;436;101;38
233;460;230;84;84;43;125;233;51;73;449;94;37
242;448;254;96;96;46;129;237;48;89;436;87;38
246;455;242;88;86;36;127;230;55;80;443;102;37
234;445;248;95;89;50;125;233;58;87;442;86;37
235;468;238;82;78;41;109;253;39;58;454;88;33
235;452;226;77;77;37;121;249;47;78;449;98;39
260;434;272;87;92;46;124;250;56;89;430;100;42
228;459;233;80;75;38;103;260;39;67;449;102;34
228;456;231;94;87;46;109;249;42;76;443;97;41
222;456;235;95;82;53;124;244;57;77;449;109;44
231;463;236;82;82;51;110;242;45;77;447;97;38
232;450;236;97;92;47;123;240;51;77;441;91;42
232;430;235;94;85;42;123;255;48;82;431;109;41
253;448;255;95;83;42;128;251;46;84;433;90;42
254;439;260;101;85;44;130;242;54;90;420;114;40
242;440;226;92;91;44;115;246;45;77;431;90;42
221;439;241;96;91;44;130;247;51;73;435;98;41
231;453;230;104;90;48;109;253;46;73;442;95;34
238;444;230;98;96;46;134;228;43;80;430;95;34
238;457;240;92;79;41;122;236;53;81;450;96;36
237;447;233;94;93;40;139;248;62;78;439;108;44
245;463;259;102;92;54;106;226;51;81;447;84;38
236;460;230;81;81;35;127;248;43;78;445;93;40
252;458;251;92;78;43;113;224;51;84;453;87;38
247;444;241;96;90;39;130;231;58;83;433;97;38
251;452;244;96;85;41;108;246;57;77;437;92;40
244;449;242;72;77;33;125;251;49;83;443;97;36
237;460;241;94;85;40;117;249;46;77;445;91;39
224;445;236;89;98;50;126;238;43;77;438;88;33
240;445;237;96;76;42;124;246;57;83;435;96;33
241;450;242;97;95;37;110;223;54;73;445;88;34
245;447;257;91;98;42;125;251;52;97;434;100;45
254;442;244;99;89;53;121;238;53;83;433;100;42
242;448;249;88;82;40;117;252;54;94;440;102;45
249;437;252;87;83;48;114;252;49;79;431;110;31
245;450;230;88;86;47;112;246;48;83;439;93;45
233;464;241;88;88;47;121;243;44;84;444;90;34
232;447;238;86;80;44;119;236;60;79;441;103;40
230;461;230;95;87;45;124;221;56;76;450;101;39
238;452;234;92;88;35;100;245;47;85;442;91;37
235;451;230;79;74;38;126;255;46;78;438;100;28
230;461;238;77;81;35;124;242;57;74;455;86;44
